"samples_per_group","local","test","loci","n_loci","median_df_paper","alpha","false_positives","rate","rate_over_alpha"
3,"none","chisq","all",59645,4,0.05,4090,0.06857238662084,1.3714477324168
3,"none","chisq","all",59645,4,0.01,1154,0.0193478078631905,1.93478078631905
3,"none","chisq","all",59645,4,0.001,257,0.00430882722776427,4.30882722776427
3,"none","chisq","meth_10_90",43891,4,0.05,3512,0.0800164042742248,1.6003280854845
3,"none","chisq","meth_10_90",43891,4,0.01,1056,0.0240596021963501,2.40596021963501
3,"none","chisq","meth_10_90",43891,4,0.001,246,0.00560479369346791,5.60479369346791
3,"none","chisq","overdispersed",22400,4,0.05,2460,0.109821428571429,2.19642857142857
3,"none","chisq","overdispersed",22400,4,0.01,843,0.0376339285714286,3.76339285714286
3,"none","chisq","overdispersed",22400,4,0.001,238,0.010625,10.625
3,"disp","t_df_paper","all",59645,6.76388728276063,0.05,1876,0.0314527621762092,0.629055243524185
3,"disp","t_df_paper","all",59645,6.76388728276063,0.01,251,0.00420823203956744,0.420823203956744
3,"disp","t_df_paper","all",59645,6.76388728276063,0.001,30,0.000502975940984156,0.502975940984156
3,"disp","t_df_paper","meth_10_90",43891,6.76388728276063,0.05,1638,0.0373197238613839,0.746394477227678
3,"disp","t_df_paper","meth_10_90",43891,6.76388728276063,0.01,234,0.00533138912305484,0.533138912305484
3,"disp","t_df_paper","meth_10_90",43891,6.76388728276063,0.001,30,0.000683511426032672,0.683511426032672
3,"disp","t_df_paper","overdispersed",22400,6.76388728276063,0.05,1357,0.0605803571428571,1.21160714285714
3,"disp","t_df_paper","overdispersed",22400,6.76388728276063,0.01,227,0.0101339285714286,1.01339285714286
3,"disp","t_df_paper","overdispersed",22400,6.76388728276063,0.001,30,0.00133928571428571,1.33928571428571
3,"disp","t_df_code","all",59645,6.76388728276063,0.05,2357,0.0395171430966552,0.790342861933104
3,"disp","t_df_code","all",59645,6.76388728276063,0.01,353,0.00591835023891357,0.591835023891357
3,"disp","t_df_code","all",59645,6.76388728276063,0.001,45,0.000754463911476234,0.754463911476234
3,"disp","t_df_code","meth_10_90",43891,6.76388728276063,0.05,2059,0.0469116675400424,0.938233350800847
3,"disp","t_df_code","meth_10_90",43891,6.76388728276063,0.01,328,0.00747305825795721,0.747305825795721
3,"disp","t_df_code","meth_10_90",43891,6.76388728276063,0.001,45,0.00102526713904901,1.02526713904901
3,"disp","t_df_code","overdispersed",22400,6.76388728276063,0.05,1658,0.0740178571428571,1.48035714285714
3,"disp","t_df_code","overdispersed",22400,6.76388728276063,0.01,315,0.0140625,1.40625
3,"disp","t_df_code","overdispersed",22400,6.76388728276063,0.001,45,0.00200892857142857,2.00892857142857
3,"disp","chisq","all",59645,6.76388728276063,0.05,4378,0.0734009556542879,1.46801911308576
3,"disp","chisq","all",59645,6.76388728276063,0.01,1345,0.0225500880207897,2.25500880207897
3,"disp","chisq","all",59645,6.76388728276063,0.001,299,0.00501299354514209,5.01299354514209
3,"disp","chisq","meth_10_90",43891,6.76388728276063,0.05,3735,0.0850971725410676,1.70194345082135
3,"disp","chisq","meth_10_90",43891,6.76388728276063,0.01,1228,0.0279784010389374,2.79784010389374
3,"disp","chisq","meth_10_90",43891,6.76388728276063,0.001,289,0.00658449340411474,6.58449340411474
3,"disp","chisq","overdispersed",22400,6.76388728276063,0.05,2736,0.122142857142857,2.44285714285714
3,"disp","chisq","overdispersed",22400,6.76388728276063,0.01,1034,0.0461607142857143,4.61607142857143
3,"disp","chisq","overdispersed",22400,6.76388728276063,0.001,281,0.0125446428571429,12.5446428571429
3,"disp_meth","t_df_paper","all",59645,6.76388728276063,0.05,1383,0.0231871908793696,0.463743817587392
3,"disp_meth","t_df_paper","all",59645,6.76388728276063,0.01,128,0.0021460306815324,0.21460306815324
3,"disp_meth","t_df_paper","all",59645,6.76388728276063,0.001,2,3.35317293989438e-05,0.0335317293989437
3,"disp_meth","t_df_paper","meth_10_90",43891,6.76388728276063,0.05,1119,0.0254949761910187,0.509899523820373
3,"disp_meth","t_df_paper","meth_10_90",43891,6.76388728276063,0.01,107,0.00243785741951653,0.243785741951653
3,"disp_meth","t_df_paper","meth_10_90",43891,6.76388728276063,0.001,2,4.55674284021781e-05,0.0455674284021781
3,"disp_meth","t_df_paper","overdispersed",22400,6.76388728276063,0.05,823,0.0367410714285714,0.734821428571429
3,"disp_meth","t_df_paper","overdispersed",22400,6.76388728276063,0.01,87,0.00388392857142857,0.388392857142857
3,"disp_meth","t_df_paper","overdispersed",22400,6.76388728276063,0.001,2,8.92857142857143e-05,0.0892857142857143
3,"disp_meth","t_df_code","all",59645,6.76388728276063,0.05,1808,0.0303126833766451,0.606253667532903
3,"disp_meth","t_df_code","all",59645,6.76388728276063,0.01,208,0.00348729985749015,0.348729985749015
3,"disp_meth","t_df_code","all",59645,6.76388728276063,0.001,4,6.70634587978875e-05,0.0670634587978875
3,"disp_meth","t_df_code","meth_10_90",43891,6.76388728276063,0.05,1489,0.0339249504454216,0.678499008908432
3,"disp_meth","t_df_code","meth_10_90",43891,6.76388728276063,0.01,176,0.00400993369939168,0.400993369939168
3,"disp_meth","t_df_code","meth_10_90",43891,6.76388728276063,0.001,4,9.11348568043562e-05,0.0911348568043562
3,"disp_meth","t_df_code","overdispersed",22400,6.76388728276063,0.05,1082,0.0483035714285714,0.966071428571429
3,"disp_meth","t_df_code","overdispersed",22400,6.76388728276063,0.01,145,0.00647321428571429,0.647321428571429
3,"disp_meth","t_df_code","overdispersed",22400,6.76388728276063,0.001,4,0.000178571428571429,0.178571428571429
3,"disp_meth","chisq","all",59645,6.76388728276063,0.05,3578,0.0599882638947104,1.19976527789421
3,"disp_meth","chisq","all",59645,6.76388728276063,0.01,981,0.0164473132701819,1.64473132701819
3,"disp_meth","chisq","all",59645,6.76388728276063,0.001,184,0.00308491910470283,3.08491910470283
3,"disp_meth","chisq","meth_10_90",43891,6.76388728276063,0.05,2926,0.0666651477523866,1.33330295504773
3,"disp_meth","chisq","meth_10_90",43891,6.76388728276063,0.01,830,0.0189104827869039,1.89104827869039
3,"disp_meth","chisq","meth_10_90",43891,6.76388728276063,0.001,168,0.00382766398578296,3.82766398578296
3,"disp_meth","chisq","overdispersed",22400,6.76388728276063,0.05,1963,0.0876339285714286,1.75267857142857
3,"disp_meth","chisq","overdispersed",22400,6.76388728276063,0.01,642,0.0286607142857143,2.86607142857143
3,"disp_meth","chisq","overdispersed",22400,6.76388728276063,0.001,153,0.00683035714285714,6.83035714285714
4,"none","t_df_paper","all",60474,6,0.05,1361,0.0225055395707246,0.450110791414492
4,"none","t_df_paper","all",60474,6,0.01,81,0.0013394185931144,0.13394185931144
4,"none","t_df_paper","all",60474,6,0.001,4,6.61441280550319e-05,0.0661441280550319
4,"none","t_df_paper","meth_10_90",44428,6,0.05,1198,0.0269649770415054,0.539299540830107
4,"none","t_df_paper","meth_10_90",44428,6,0.01,80,0.00180066624651121,0.180066624651121
4,"none","t_df_paper","meth_10_90",44428,6,0.001,4,9.00333123255605e-05,0.0900333123255605
4,"none","t_df_paper","overdispersed",22555,6,0.05,924,0.0409665262691199,0.819330525382399
4,"none","t_df_paper","overdispersed",22555,6,0.01,72,0.00319219685213922,0.319219685213922
4,"none","t_df_paper","overdispersed",22555,6,0.001,4,0.00017734426956329,0.17734426956329
4,"none","t_df_code","all",60474,6,0.05,1821,0.0301121142970533,0.602242285941066
4,"none","t_df_code","all",60474,6,0.01,176,0.0029103416344214,0.29103416344214
4,"none","t_df_code","all",60474,6,0.001,6,9.92161920825479e-05,0.0992161920825479
4,"none","t_df_code","meth_10_90",44428,6,0.05,1570,0.0353380750877825,0.70676150175565
4,"none","t_df_code","meth_10_90",44428,6,0.01,167,0.00375889078959215,0.375889078959215
4,"none","t_df_code","meth_10_90",44428,6,0.001,6,0.000135049968488341,0.135049968488341
4,"none","t_df_code","overdispersed",22555,6,0.05,1163,0.0515628463755265,1.03125692751053
4,"none","t_df_code","overdispersed",22555,6,0.01,144,0.00638439370427843,0.638439370427843
4,"none","t_df_code","overdispersed",22555,6,0.001,6,0.000266016404344935,0.266016404344935
4,"none","chisq","all",60474,6,0.05,3750,0.0620101200515924,1.24020240103185
4,"none","chisq","all",60474,6,0.01,1013,0.0167510004299368,1.67510004299368
4,"none","chisq","all",60474,6,0.001,206,0.00340642259483414,3.40642259483414
4,"none","chisq","meth_10_90",44428,6,0.05,3055,0.0687629422886468,1.37525884577294
4,"none","chisq","meth_10_90",44428,6,0.01,902,0.0203025119294139,2.03025119294139
4,"none","chisq","meth_10_90",44428,6,0.001,196,0.00441163230395246,4.41163230395246
4,"none","chisq","overdispersed",22555,6,0.05,2084,0.092396364442474,1.84792728884948
4,"none","chisq","overdispersed",22555,6,0.01,719,0.0318776324540013,3.18776324540013
4,"none","chisq","overdispersed",22555,6,0.001,168,0.00744845932165817,7.44845932165817
4,"disp","t_df_paper","all",60474,11.2133351547944,0.05,2393,0.0395707246089228,0.791414492178457
4,"disp","t_df_paper","all",60474,11.2133351547944,0.01,379,0.00626715613321427,0.626715613321427
4,"disp","t_df_paper","all",60474,11.2133351547944,0.001,39,0.000644905248536561,0.644905248536561
4,"disp","t_df_paper","meth_10_90",44428,11.2133351547944,0.05,1975,0.0444539479607455,0.88907895921491
4,"disp","t_df_paper","meth_10_90",44428,11.2133351547944,0.01,341,0.00767533987575403,0.767533987575403
4,"disp","t_df_paper","meth_10_90",44428,11.2133351547944,0.001,38,0.000855316467092824,0.855316467092824
4,"disp","t_df_paper","overdispersed",22555,11.2133351547944,0.05,1550,0.0687209044557748,1.3744180891155
4,"disp","t_df_paper","overdispersed",22555,11.2133351547944,0.01,319,0.0141432054976724,1.41432054976724
4,"disp","t_df_paper","overdispersed",22555,11.2133351547944,0.001,39,0.00172910662824207,1.72910662824207
4,"disp","t_df_code","all",60474,11.2133351547944,0.05,2646,0.0437543407084036,0.875086814168072
